k,QQ,x_b,t,phi_x,F,sigmaF,ReH,ReE,ReHt,dvcs
5.75,1.82000005245209,0.342999994754791,-0.172000005841255,7.5,0.120053172111511,0.004920000210404,-0.992404142310346,-0.31,-0.396272488732234,0.017761320249214
5.75,1.82000005245209,0.342999994754791,-0.172000005841255,22.5,0.114968925714493,0.00467999977991,-0.992404142310346,-0.31,-0.396272488732234,0.017761320249214
5.75,1.82000005245209,0.342999994754791,-0.172000005841255,37.5,0.106078334152699,0.004199999850243,-0.992404142310346,-0.31,-0.396272488732234,0.017761320249214
5.75,1.82000005245209,0.342999994754791,-0.172000005841255,52.5,0.095265530049801,0.00395999988541,-0.992404142310346,-0.31,-0.396272488732234,0.017761320249214
5.75,1.82000005245209,0.342999994754791,-0.172000005841255,67.5,0.084248617291451,0.00359999993816,-0.992404142310346,-0.31,-0.396272488732234,0.017761320249214
5.75,1.82000005245209,0.342999994754791,-0.172000005841255,82.5,0.074176475405693,0.003359999973327,-0.992404142310346,-0.31,-0.396272488732234,0.017761320249214
5.75,1.82000005245209,0.342999994754791,-0.172000005841255,97.5,0.065618008375168,0.003120000008494,-0.992404142310346,-0.31,-0.396272488732234,0.017761320249214
5.75,1.82000005245209,0.342999994754791,-0.172000005841255,112.5,0.058736927807331,0.00288000004366,-0.992404142310346,-0.31,-0.396272488732234,0.017761320249214
5.75,1.82000005245209,0.342999994754791,-0.172000005841255,127.5,0.053479675203562,0.002760000061244,-0.992404142310346,-0.31,-0.396272488732234,0.017761320249214
5.75,1.82000005245209,0.342999994754791,-0.172000005841255,142.5,0.049710221588612,0.002520000096411,-0.992404142310346,-0.31,-0.396272488732234,0.017761320249214
5.75,1.82000005245209,0.342999994754791,-0.172000005841255,157.5,0.04728751629591,0.002520000096411,-0.992404142310346,-0.31,-0.396272488732234,0.017761320249214
5.75,1.82000005245209,0.342999994754791,-0.172000005841255,172.5,0.046104431152344,0.002400000113994,-0.992404142310346,-0.31,-0.396272488732234,0.017761320249214
5.75,1.82000005245209,0.342999994754791,-0.172000005841255,187.5,0.046104423701763,0.002400000113994,-0.992404142310346,-0.31,-0.396272488732234,0.017761320249214
5.75,1.82000005245209,0.342999994754791,-0.172000005841255,202.5,0.04728751629591,0.002520000096411,-0.992404142310346,-0.31,-0.396272488732234,0.017761320249214
5.75,1.82000005245209,0.342999994754791,-0.172000005841255,217.5,0.049710221588612,0.002640000078827,-0.992404142310346,-0.31,-0.396272488732234,0.017761320249214
5.75,1.82000005245209,0.342999994754791,-0.172000005841255,232.5,0.053479675203562,0.002640000078827,-0.992404142310346,-0.31,-0.396272488732234,0.017761320249214
5.75,1.82000005245209,0.342999994754791,-0.172000005841255,247.5,0.058736920356751,0.002760000061244,-0.992404142310346,-0.31,-0.396272488732234,0.017761320249214
5.75,1.82000005245209,0.342999994754791,-0.172000005841255,262.5,0.065618008375168,0.00288000004366,-0.992404142310346,-0.31,-0.396272488732234,0.017761320249214
5.75,1.82000005245209,0.342999994754791,-0.172000005841255,277.5,0.074176475405693,0.00323999999091,-0.992404142310346,-0.31,-0.396272488732234,0.017761320249214
5.75,1.82000005245209,0.342999994754791,-0.172000005841255,292.5,0.084248617291451,0.003479999955744,-0.992404142310346,-0.31,-0.396272488732234,0.017761320249214
5.75,1.82000005245209,0.342999994754791,-0.172000005841255,307.5,0.095265530049801,0.003839999902993,-0.992404142310346,-0.31,-0.396272488732234,0.017761320249214
5.75,1.82000005245209,0.342999994754791,-0.172000005841255,322.5,0.106078334152699,0.004199999850243,-0.992404142310346,-0.31,-0.396272488732234,0.017761320249214
5.75,1.82000005245209,0.342999994754791,-0.172000005841255,337.5,0.114968925714493,0.004559999797493,-0.992404142310346,-0.31,-0.396272488732234,0.017761320249214
5.75,1.82000005245209,0.342999994754791,-0.172000005841255,352.5,0.120053172111511,0.004800000227988,-0.992404142310346,-0.31,-0.396272488732234,0.017761320249214
5.75,1.93299996852875,0.368000000715256,-0.23199999332428,7.5,0.081813633441925,0.005040000192821,-1.23275459944091,-0.31,-0.342786580379209,0.012829166550746
5.75,1.93299996852875,0.368000000715256,-0.23199999332428,22.5,0.077151566743851,0.004439999815077,-1.23275459944091,-0.31,-0.342786580379209,0.012829166550746
5.75,1.93299996852875,0.368000000715256,-0.23199999332428,37.5,0.069407619535923,0.003839999902993,-1.23275459944091,-0.31,-0.342786580379209,0.012829166550746
5.75,1.93299996852875,0.368000000715256,-0.23199999332428,52.5,0.060641027987003,0.00359999993816,-1.23275459944091,-0.31,-0.342786580379209,0.012829166550746
5.75,1.93299996852875,0.368000000715256,-0.23199999332428,67.5,0.052384424954653,0.00323999999091,-1.23275459944091,-0.31,-0.342786580379209,0.012829166550746
5.75,1.93299996852875,0.368000000715256,-0.23199999332428,82.5,0.045384276658297,0.00288000004366,-1.23275459944091,-0.31,-0.342786580379209,0.012829166550746
5.75,1.93299996852875,0.368000000715256,-0.23199999332428,97.5,0.039818268269301,0.002520000096411,-1.23275459944091,-0.31,-0.342786580379209,0.012829166550746
5.75,1.93299996852875,0.368000000715256,-0.23199999332428,112.5,0.035582471638918,0.002400000113994,-1.23275459944091,-0.31,-0.342786580379209,0.012829166550746
5.75,1.93299996852875,0.368000000715256,-0.23199999332428,127.5,0.032483108341694,0.00215999991633,-1.23275459944091,-0.31,-0.342786580379209,0.012829166550746
5.75,1.93299996852875,0.368000000715256,-0.23199999332428,142.5,0.030331045389176,0.002039999933913,-1.23275459944091,-0.31,-0.342786580379209,0.012829166550746
5.75,1.93299996852875,0.368000000715256,-0.23199999332428,157.5,0.02897796407342,0.002039999933913,-1.23275459944091,-0.31,-0.342786580379209,0.012829166550746
5.75,1.93299996852875,0.368000000715256,-0.23199999332428,172.5,0.028325591236353,0.001919999951497,-1.23275459944091,-0.31,-0.342786580379209,0.012829166550746
5.75,1.93299996852875,0.368000000715256,-0.23199999332428,187.5,0.028325591236353,0.001919999951497,-1.23275459944091,-0.31,-0.342786580379209,0.012829166550746
5.75,1.93299996852875,0.368000000715256,-0.23199999332428,202.5,0.02897796407342,0.002039999933913,-1.23275459944091,-0.31,-0.342786580379209,0.012829166550746
5.75,1.93299996852875,0.368000000715256,-0.23199999332428,217.5,0.030331045389176,0.002039999933913,-1.23275459944091,-0.31,-0.342786580379209,0.012829166550746
5.75,1.93299996852875,0.368000000715256,-0.23199999332428,232.5,0.032483100891113,0.00215999991633,-1.23275459944091,-0.31,-0.342786580379209,0.012829166550746
5.75,1.93299996852875,0.368000000715256,-0.23199999332428,247.5,0.035582460463047,0.002400000113994,-1.23275459944091,-0.31,-0.342786580379209,0.012829166550746
5.75,1.93299996852875,0.368000000715256,-0.23199999332428,262.5,0.03981826454401,0.002520000096411,-1.23275459944091,-0.31,-0.342786580379209,0.012829166550746
5.75,1.93299996852875,0.368000000715256,-0.23199999332428,277.5,0.045384265482426,0.002760000061244,-1.23275459944091,-0.31,-0.342786580379209,0.012829166550746
5.75,1.93299996852875,0.368000000715256,-0.23199999332428,292.5,0.052384424954653,0.003120000008494,-1.23275459944091,-0.31,-0.342786580379209,0.012829166550746
5.75,1.93299996852875,0.368000000715256,-0.23199999332428,307.5,0.060641027987003,0.003359999973327,-1.23275459944091,-0.31,-0.342786580379209,0.012829166550746
5.75,1.93299996852875,0.368000000715256,-0.23199999332428,322.5,0.069407619535923,0.003839999902993,-1.23275459944091,-0.31,-0.342786580379209,0.012829166550746
5.75,1.93299996852875,0.368000000715256,-0.23199999332428,337.5,0.077151566743851,0.004559999797493,-1.23275459944091,-0.31,-0.342786580379209,0.012829166550746
5.75,1.93299996852875,0.368000000715256,-0.23199999332428,352.5,0.081813633441925,0.005040000192821,-1.23275459944091,-0.31,-0.342786580379209,0.012829166550746
